"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","1nF","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"C2,C3,C5","10µF","Capacitor_SMD:C_0805_2012Metric","~","3","","",""
"C4","0.1µF","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"D2,D3,D4","SS14","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf","3","","",""
"DC1","DC-005 5.5-2.0MM","easyeda2kicad:DC-IN-TH_DC-5520-1","https://lcsc.com/product-detail/DC-Connectors_DC-005-5-5-2-0MM_C16214.html","1","","",""
"F1","Fuse","Fuse:Fuse_1206_3216Metric","~","1","","",""
"J2","Fan1","Connector_JST:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal","~","1","","",""
"J3","Fan2","Connector_JST:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal","~","1","","",""
"J4","Temp Sensor","Connector_JST:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal","~","1","","",""
"J5","USB_C_Receptacle_USB2.0_14P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","1","","",""
"L1","100µH","easyeda2kicad:IND-SMD_L7.8-W7.0-A","~","1","","",""
"LED1,LED2,LED3","WS2815B-V1","easyeda2kicad:LED-SMD_6P-L5.0-W5.0-P1.60-LS5.4-BR","","3","","",""
"LS1","CEM-1203_42_","VEML7700_TR:CUI_CEM-1203_42_","","1","","",""
"PS1","R-78K3.3-0.5","VEML7700_TR:CONV_R-78K3.3-0.5","","1","","",""
"Q1,Q2,Q3","2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","3","","",""
"R1","10kΩ","Resistor_SMD:R_0805_2012Metric","~","1","","",""
"R2","4k7Ω","Resistor_SMD:R_0805_2012Metric","~","1","","",""
"R3,R4","5k1Ω","Resistor_SMD:R_0805_2012Metric","~","2","","",""
"U1","ESP32-C3-WROOM-02","PCM_Espressif:ESP32-C3-WROOM-02","https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf","1","","",""
